                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 2.5848,                 1.8063,                 1.5052,                 0.4145,                 0.3393,                0.30565,                0.12749,                 2.3828,                 1.7057,                 1.4329,              0.0006338,              0.0006338,              0.0006338
                     72,                 2.4937,                 1.7491,                 1.4359,                0.41914,                0.33937,                0.30981,                0.12924,                 2.3615,                 1.7214,                 1.4292,               0.000614,               0.000614,               0.000614
                     73,                 2.5316,                 1.8983,                 1.4653,                0.43239,                 0.3341,                0.30537,                0.12645,                 2.3743,                 1.7635,                 1.4421,              0.0005942,              0.0005942,              0.0005942
                     74,                 2.4407,                  1.689,                 1.4118,                0.44043,                0.32344,                0.30487,                0.12421,                 2.3749,                 1.7973,                 1.4486,              0.0005744,              0.0005744,              0.0005744
                     75,                 2.5029,                 1.6954,                 1.3876,                0.43675,                0.33419,                0.30697,                0.12389,                 2.3557,                 1.7678,                 1.4267,              0.0005546,              0.0005546,              0.0005546
                     76,                 2.4515,                 1.7135,                 1.4061,                 0.4293,                0.34237,                0.30997,                0.12475,                 2.3645,                 1.7068,                 1.4033,              0.0005348,              0.0005348,              0.0005348
                     77,                 2.4653,                 1.7824,                 1.3946,                 0.4208,                0.35806,                0.31738,                0.12921,                 2.3465,                 1.6777,                 1.3885,               0.000515,               0.000515,               0.000515
                     78,                 2.5593,                 1.8244,                 1.4319,                0.42594,                0.35824,                0.32142,                0.13209,                 2.3622,                 1.6764,                 1.3843,              0.0004952,              0.0004952,              0.0004952
                     79,                 2.5042,                 1.7946,                 1.4806,                 0.4246,                0.35312,                0.32054,                0.13539,                 2.3493,                 1.6805,                 1.3844,              0.0004754,              0.0004754,              0.0004754
                     80,                 2.4547,                 1.7821,                 1.4576,                0.42888,                0.34391,                 0.3089,                0.12913,                 2.3434,                 1.6909,                   1.39,              0.0004556,              0.0004556,              0.0004556
                     81,                 2.4439,                 1.7138,                 1.4017,                0.43325,                0.33879,                0.30967,                0.13024,                 2.3471,                 1.6936,                 1.3918,              0.0004358,              0.0004358,              0.0004358
                     82,                 2.5845,                 1.7188,                  1.409,                 0.4396,                0.35159,                0.32857,                0.13534,                 2.3521,                 1.6901,                 1.3859,               0.000416,               0.000416,               0.000416
                     83,                  2.415,                 1.8219,                 1.4158,                0.44106,                 0.3608,                0.33169,                0.13542,                 2.3426,                 1.6752,                 1.3822,              0.0003962,              0.0003962,              0.0003962
                     84,                 2.4369,                  1.702,                 1.4159,                0.45076,                0.36247,                0.33426,                0.13669,                 2.3261,                 1.6549,                 1.3765,              0.0003764,              0.0003764,              0.0003764
                     85,                 2.4787,                 1.7503,                 1.4418,                0.45585,                0.36847,                0.34078,                0.14015,                  2.311,                   1.64,                 1.3711,              0.0003566,              0.0003566,              0.0003566
                     86,                 2.4546,                 1.7631,                 1.4101,                 0.4685,                 0.3695,                0.34914,                0.14492,                 2.2874,                 1.6188,                 1.3537,              0.0003368,              0.0003368,              0.0003368
                     87,                 2.4122,                 1.7051,                 1.4148,                0.46305,                0.37155,                 0.3511,                  0.147,                 2.2811,                 1.6194,                 1.3485,               0.000317,               0.000317,               0.000317
                     88,                 2.4214,                 1.7373,                 1.4133,                0.46566,                0.35722,                 0.3469,                0.14361,                 2.2911,                 1.6322,                 1.3506,              0.0002972,              0.0002972,              0.0002972
                     89,                 2.4819,                 1.6777,                 1.4007,                0.46952,                 0.3608,                0.35044,                0.14607,                 2.2859,                 1.6261,                 1.3532,              0.0002774,              0.0002774,              0.0002774
                     90,                 2.4653,                 1.6993,                 1.4056,                0.46879,                0.36285,                0.35338,                0.14943,                 2.2915,                 1.6084,                 1.3693,              0.0002576,              0.0002576,              0.0002576
                     91,                  2.355,                  1.932,                 1.4259,                0.46432,                0.35926,                0.34799,                0.14802,                  2.303,                 1.6023,                 1.3763,              0.0002378,              0.0002378,              0.0002378
                     92,                 2.3769,                 1.7463,                 1.4056,                 0.4366,                0.35614,                0.33502,                0.14272,                 2.3321,                 1.6089,                 1.3907,               0.000218,               0.000218,               0.000218
                     93,                 2.3677,                 1.8085,                 1.4164,                 0.4369,                0.35977,                0.32944,                0.14056,                 2.3334,                 1.6129,                 1.3902,              0.0001982,              0.0001982,              0.0001982
                     94,                 2.3746,                 1.7844,                 1.4201,                0.44333,                 0.3654,                 0.3326,                0.14262,                 2.3004,                 1.6142,                 1.3734,              0.0001784,              0.0001784,              0.0001784
                     95,                 2.3316,                 1.7875,                 1.3642,                0.44366,                0.36485,                0.33502,                0.14609,                 2.2772,                 1.6163,                  1.362,              0.0001586,              0.0001586,              0.0001586
                     96,                  2.356,                 1.7291,                 1.3929,                0.45425,                0.35363,                0.34035,                 0.1497,                 2.2581,                 1.6356,                 1.3511,              0.0001388,              0.0001388,              0.0001388
                     97,                 2.3576,                 1.7816,                 1.4321,                 0.4551,                0.35312,                0.34136,                 0.1492,                  2.256,                 1.6414,                 1.3484,               0.000119,               0.000119,               0.000119
                     98,                 2.3725,                 1.9567,                 1.4013,                0.45957,                0.35415,                0.34003,                0.14904,                 2.2581,                 1.6545,                 1.3493,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 2.3711,                 1.8428,                 1.4062,                0.46344,                0.35824,                0.34049,                0.14956,                 2.2556,                 1.6568,                 1.3469,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 2.3162,                 1.7665,                 1.4078,                0.46801,                0.35567,                0.34232,                0.15079,                 2.2528,                  1.655,                  1.346,               5.96e-05,               5.96e-05,               5.96e-05
